feature,importance
log1p_subscriber_count,0.10221683
log1p_channel_avg_views,0.07717776
hook_sharpness,0.018583689
duration_seconds,0.017188521
clip_hook_pca_5,0.014165121
clip_mean_pca_8,0.0126306405
title_pca_4,0.012134261
title_pca_1,0.01158109
title_pca_2,0.01152485
hook_saturation,0.010373268
clip_mean_pca_4,0.010347717
title_pca_0,0.010100632
title_pca_6,0.009731298
title_pca_16,0.009530931
clip_mean_pca_30,0.009080775
clip_mean_pca_14,0.009074466
temporal_motion_mean,0.009043688
temporal_peak_time,0.007956916
hook_edge_density,0.007226139
title_pca_13,0.0070603117
clip_hook_pca_8,0.00702324
vggish_mean_pca_3,0.006922127
hook_face_size,0.0068713855
clip_mean_pca_22,0.006847045
title_pca_11,0.0066767973
mean_motion,0.0063786134
clip_mean_pca_3,0.006296393
clip_mean_pca_13,0.006165196
temporal_hook_motion,0.0059894635
clip_mean_pca_23,0.0059816185
clip_mean_pca_6,0.00595229
temporal_end_motion,0.0058804345
title_has_number,0.005696652
clip_mean_pca_19,0.0056140507
clip_mean_pca_17,0.0056033055
tag_count,0.0055728056
std_brightness,0.0055610305
clip_mean_pca_39,0.005558518
clip_mean_pca_47,0.005524019
clip_hook_pca_9,0.0053784754
std_contrast,0.0052185366
title_pca_9,0.0050947512
title_pca_8,0.0050692465
title_pca_3,0.0050298003
clip_hook_pca_26,0.005017217
temporal_variance,0.0049998523
temporal_motion_max,0.0049724216
silence_ratio,0.0048778737
cuts_per_second,0.0047893114
clip_hook_pca_4,0.0047499775
temporal_motion_std,0.0046964
vggish_hook_pca_6,0.0046750912
clip_hook_pca_2,0.004659471
vggish_mean_pca_19,0.0046376158
title_pca_17,0.004630214
hook_has_face,0.0045708446
title_length,0.0045602396
clip_mean_pca_7,0.0045261825
clip_hook_pca_6,0.004499521
clip_hook_pca_25,0.004459969
harmonic_ratio,0.004390599
title_pca_5,0.004350983
hook_contrast,0.004346658
clip_mean_pca_9,0.0042693806
clip_mean_pca_32,0.0042462884
clip_mean_pca_27,0.0042434144
vggish_mean_pca_4,0.0042320727
hook_centre_brightness,0.004209967
clip_mean_pca_2,0.0041526775
clip_hook_pca_23,0.004144108
hook_text_proxy,0.0040440033
clip_mean_pca_25,0.004020405
title_pca_15,0.00401785
clip_hook_pca_10,0.003970486
clip_hook_pca_21,0.0039164186
percussive_ratio,0.003915101
clip_mean_pca_45,0.0039050216
cluster_id,0.0038500617
vggish_mean_pca_18,0.003849183
mean_brightness,0.003839465
df_emotion_score,0.003830044
clip_mean_pca_28,0.0037506076
title_pca_14,0.0037419328
clip_hook_pca_3,0.003731193
max_motion,0.003721917
title_pca_10,0.00372029
clip_mean_pca_21,0.0037098317
clip_mean_pca_10,0.0037017632
vggish_hook_pca_5,0.0036578812
vggish_hook_pca_0,0.0036547184
vggish_hook_pca_1,0.0036487512
clip_mean_pca_18,0.003634964
clip_mean_pca_26,0.0036260078
mean_zcr,0.0035567833
clip_hook_pca_13,0.0035517074
clip_mean_pca_40,0.0035500533
vggish_mean_pca_2,0.003549387
clip_hook_pca_1,0.003544272
temporal_high_motion_ratio,0.0035307026
posted_hour,0.0035158356
vggish_hook_pca_2,0.0035118754
clip_mean_pca_24,0.0035114158
audio_energy_trend,0.0035083252
clip_hook_pca_20,0.003480412
clip_mean_pca_0,0.003446688
clip_mean_pca_11,0.0034282256
clip_mean_pca_1,0.003427554
title_pca_7,0.0034217827
hook_hue_entropy,0.0034081005
clip_mean_pca_43,0.003406671
title_caps_ratio,0.0033546656
std_saturation,0.003346312
clip_hook_pca_12,0.003311554
mean_face_size,0.0032969005
temporal_buildup,0.003296229
loudness_variance,0.003293336
clip_mean_pca_37,0.0032796653
title_pca_19,0.0032581796
clip_mean_pca_5,0.0032157921
clip_hook_pca_7,0.0032117772
title_pca_18,0.0031848575
clip_hook_pca_15,0.003183511
mean_saturation,0.0031384558
vggish_mean_pca_13,0.0031327547
vggish_mean_pca_6,0.0030945805
mean_has_face,0.0030868829
vggish_mean_pca_0,0.0030851478
brightness_trend,0.0030787492
clip_hook_pca_22,0.003041668
mean_loudness,0.0030107882
vggish_hook_pca_3,0.0029607334
clip_mean_pca_35,0.0029450867
clip_mean_pca_16,0.0029443565
clip_hook_pca_29,0.0029348827
clip_hook_pca_0,0.0029181584
vggish_mean_pca_14,0.0029090208
clip_mean_pca_41,0.0028931862
clip_mean_pca_20,0.0028775106
clip_mean_pca_29,0.0028419183
vggish_mean_pca_1,0.0028336619
temporal_acceleration,0.002823813
mean_edge_density,0.0027929137
clip_mean_pca_49,0.002786709
vggish_mean_pca_5,0.0027856622
clip_mean_pca_36,0.002767586
clip_mean_pca_33,0.0027472354
clip_hook_pca_28,0.0027354388
desc_length,0.0027309116
clip_mean_pca_15,0.002659602
clip_mean_pca_46,0.0026341125
clip_mean_pca_34,0.0026139244
clip_hook_pca_11,0.0026061167
clip_mean_pca_42,0.0025935154
clip_hook_pca_14,0.0025627897
clip_hook_pca_18,0.002559844
vggish_mean_pca_17,0.0025594535
vggish_mean_pca_12,0.0025116575
dynamic_range,0.0025000535
mean_hue_entropy,0.0024845055
title_pca_12,0.0024689096
mean_contrast,0.0024663822
clip_hook_pca_16,0.0024395296
vggish_mean_pca_9,0.0024061343
vggish_hook_pca_4,0.0023946357
posted_weekday,0.002373474
clip_hook_pca_19,0.002350827
df_neutral_score,0.0023478484
hook_brightness,0.0023347014
vggish_hook_pca_8,0.0023199297
vggish_mean_pca_15,0.0022838407
clip_hook_pca_24,0.0022706592
df_happy_score,0.0022428194
vggish_mean_pca_10,0.00224124
vggish_mean_pca_16,0.0022196383
clip_mean_pca_44,0.0022105323
clip_hook_pca_17,0.0022064364
clip_mean_pca_31,0.0021950859
clip_mean_pca_38,0.0021859799
vggish_mean_pca_7,0.0021693667
vggish_hook_pca_9,0.0021403008
hook_loudness,0.0021385304
music_score,0.0021233102
clip_mean_pca_48,0.002110873
tempo_bpm,0.0020768421
df_surprise_score,0.001973001
hook_music_score,0.0019354519
vggish_hook_pca_7,0.0019344072
clip_hook_pca_27,0.0018014961
vggish_mean_pca_8,0.0017689109
title_has_emoji,0.0017570297
clip_mean_pca_12,0.0016780429
vggish_mean_pca_11,0.0016441657
trending_audio_score,0.0011288574
posted_prime_time,0.0008938998
posted_on_weekend,0.0
