feature,importance
duration_seconds,0.024750596
log1p_chan_like_rate,0.02042547
log1p_channel_avg_views,0.013886192
log1p_subscriber_count,0.01193454
vggish_mean_pca_15,0.010720714
log1p_chan_comment_rate,0.010444833
dynamic_range,0.010089986
clip_mean_pca_2,0.009681115
mean_loudness,0.009586214
temporal_hook_motion,0.009374731
std_brightness,0.009117845
title_pca_4,0.009003991
clip_hook_pca_13,0.008645335
title_pca_7,0.008632095
temporal_acceleration,0.008501146
clip_mean_pca_35,0.008452693
temporal_motion_max,0.008428139
clip_hook_pca_18,0.0081788255
clip_mean_pca_15,0.008102689
clip_hook_pca_22,0.00792787
hook_contrast,0.0078850575
vggish_hook_pca_5,0.007826379
vggish_hook_pca_9,0.007705281
temporal_peak_time,0.007690359
clip_mean_pca_34,0.0075822487
clip_hook_pca_4,0.0075817374
vggish_hook_pca_7,0.0075692637
mean_has_face,0.007527195
clip_hook_pca_7,0.007510299
clip_hook_pca_3,0.007457029
df_neutral_score,0.007439751
std_contrast,0.0073457416
clip_mean_pca_14,0.0073282686
clip_mean_pca_4,0.007312497
title_pca_15,0.007250405
title_pca_18,0.0072496175
temporal_motion_std,0.0071883057
hook_text_proxy,0.0071818996
clip_hook_pca_26,0.0071798936
harmonic_ratio,0.007179299
hook_centre_brightness,0.0071580005
percussive_ratio,0.006952799
clip_mean_pca_48,0.006939263
clip_hook_pca_29,0.006911684
clip_mean_pca_37,0.006858375
title_pca_2,0.0068334984
std_saturation,0.006800832
clip_mean_pca_11,0.0067743575
clip_hook_pca_14,0.006765127
clip_mean_pca_1,0.006757092
hook_sharpness,0.006727664
clip_mean_pca_31,0.006716452
hook_edge_density,0.0066007636
clip_mean_pca_10,0.006592637
clip_mean_pca_25,0.0065466585
title_pca_9,0.0065387804
clip_mean_pca_42,0.006486579
loudness_variance,0.0064776405
clip_hook_pca_20,0.006474698
brightness_trend,0.0064265653
hook_silence_ratio_3s,0.0063899877
vggish_hook_pca_6,0.006366083
temporal_variance,0.006300734
title_caps_ratio,0.0062673474
mean_face_size,0.006195897
title_pca_16,0.0061882595
hook_loudness,0.006149103
vggish_mean_pca_17,0.006137241
clip_hook_pca_15,0.0060194093
clip_hook_pca_27,0.0060123615
title_pca_8,0.005972772
clip_mean_pca_27,0.0059239515
title_length,0.0058718272
clip_hook_pca_12,0.0058460436
clip_mean_pca_6,0.0058276593
clip_mean_pca_45,0.0057721655
clip_hook_pca_25,0.0057706796
vggish_mean_pca_3,0.0057646004
cuts_per_second,0.0057417317
clip_hook_pca_8,0.0057046777
vggish_mean_pca_6,0.005697615
vggish_mean_pca_2,0.0056452216
clip_mean_pca_21,0.0055872686
vggish_mean_pca_5,0.0055826767
music_score,0.0055783335
clip_mean_pca_47,0.0055502043
clip_mean_pca_38,0.0055204732
title_pca_1,0.005485489
title_pca_0,0.0054377834
title_pca_6,0.005428928
title_pca_12,0.0053318604
vggish_hook_pca_4,0.005306009
tempo_bpm,0.0052396925
vggish_mean_pca_1,0.005219109
clip_mean_pca_9,0.005197959
mean_edge_density,0.0051804795
clip_mean_pca_12,0.0051171575
clip_hook_pca_11,0.0051037865
max_motion,0.005094014
clip_mean_pca_18,0.005086101
vggish_mean_pca_14,0.005027828
clip_hook_pca_6,0.004914145
mean_motion,0.0049119988
clip_mean_pca_13,0.004910914
clip_mean_pca_0,0.004884934
clip_mean_pca_46,0.0048805713
clip_hook_pca_9,0.004812546
clip_mean_pca_39,0.0047804285
vggish_mean_pca_19,0.004750356
hook_has_face,0.0047211717
vggish_hook_pca_0,0.0046947366
mean_contrast,0.0046659973
clip_hook_pca_0,0.004664612
clip_hook_pca_17,0.004630864
mean_zcr,0.004612143
clip_mean_pca_24,0.004600046
silence_ratio,0.0045930943
clip_hook_pca_24,0.004536729
vggish_mean_pca_9,0.004491518
clip_mean_pca_8,0.004476445
